"id","passerine_non_passerine","order","family_name_latin","family_name_common","taxonomy","scientific_name","common_name","diet_invertebrate","diet_vert_endo","diet_vert_ecto","diet_vert_fish","diet_vert_unknown","diet_scavenger","diet_fruit","diet_nectar","diet_seed","diet_other_plant","diet_category","diet_data_source","diet_certainty","foraging_below_water","foraging_around_surf","foraging_ground","foraging_understory","foraging_midheight","foraging_canopy","foraging_aerial","foraging_data_source","is_noctural","body_mass_value","body_mass_data_source","body_mass_spec_level","body_mass_comments","foraging_spec_level","comments","is_pelagic_specialist","bl_family_sequence_id","foraging_data_entered_by","diet_data_entered_by"
139,"Nonpasseriformes","Galliformes","Cracidae","Guans and curassows","BL3","Ortalis garrula","Chestnut-winged Chachalaca",0,0,0,0,0,0,60,0,0,40,"FruiNect","Ref_2","D1",0,0,0,0,50,50,0,"Ref_2",FALSE,532,"Dunning08",TRUE,,TRUE,,FALSE,8,"Jessica","Jennifer"
140,"Nonpasseriformes","Galliformes","Cracidae","Guans and curassows","BL3","Ortalis ruficauda","Rufous-vented Chachalaca",0,0,0,0,0,0,60,0,0,40,"FruiNect","Ref_2","A",0,0,20,0,40,40,0,"Ref_2",FALSE,586.24,"Dunning08",TRUE,,TRUE,,FALSE,8,"Jessica","Jennifer"
142,"Nonpasseriformes","Galliformes","Cracidae","Guans and curassows","BL3","Ortalis erythroptera","Rufous-headed Chachalaca",0,0,0,0,0,0,50,0,0,50,"Omnivore","Ref_2","C",0,0,20,0,40,40,0,"Ref_2",FALSE,632,"Dunning08",TRUE,,TRUE,,FALSE,8,"Jessica","Jennifer"
143,"Nonpasseriformes","Galliformes","Cracidae","Guans and curassows","BL3","Ortalis wagleri","Rufous-bellied Chachalaca",0,0,0,0,0,0,100,0,0,0,"FruiNect","Ref_2","A",0,0,0,0,50,50,0,"Ref_2",FALSE,833.99,"Dunning08",TRUE,,TRUE,,FALSE,8,"Jessica","Jennifer"
144,"Nonpasseriformes","Galliformes","Cracidae","Guans and curassows","BL3","Ortalis poliocephala","West Mexican Chachalaca",0,0,0,0,0,0,30,0,30,40,"PlantSeed","Ref_2","A",0,0,0,0,50,50,0,"Ref_2",FALSE,760,"Dunning08",TRUE,,TRUE,,FALSE,8,"Jessica","Jennifer"
145,"Nonpasseriformes","Galliformes","Cracidae","Guans and curassows","BL3","Ortalis canicollis","Chaco Chachalaca",20,0,0,0,0,0,30,0,10,40,"Omnivore","Ref_2","A",0,0,20,0,40,40,0,"Ref_2",FALSE,539,"Dunning08",TRUE,,TRUE,,FALSE,8,"Jessica","Jennifer"
146,"Nonpasseriformes","Galliformes","Cracidae","Guans and curassows","BL3","Ortalis leucogastra","White-bellied Chachalaca",10,0,0,0,0,0,70,0,0,20,"FruiNect","Ref_2","A",0,0,10,10,80,0,0,"Ref_2",FALSE,495.82,"Dunning08",TRUE,,TRUE,,FALSE,8,"Other","Jennifer"
147,"Nonpasseriformes","Galliformes","Cracidae","Guans and curassows","BL3","Ortalis guttata","Speckled Chachalaca",0,0,0,0,0,0,90,0,10,0,"FruiNect","Ref_2","B",0,0,0,0,50,50,0,"Ref_2",FALSE,547.72,"Dunning08",TRUE,,TRUE,,FALSE,8,"Jessica","Jennifer"
148,"Nonpasseriformes","Galliformes","Cracidae","Guans and curassows","BL3","Ortalis motmot","Little Chachalaca",0,0,0,0,0,0,100,0,0,0,"FruiNect","Ref_2","A",0,0,33,0,33,33,0,"Ref_2",FALSE,520,"Dunning08",TRUE,,TRUE,,FALSE,8,"Jessica","Jennifer"
149,"Nonpasseriformes","Galliformes","Cracidae","Guans and curassows","BL3","Ortalis superciliaris","Buff-browed Chachalaca",0,0,0,0,0,0,60,0,0,40,"FruiNect","Ref_2","D1",0,0,20,0,40,40,0,"Genus",FALSE,578.6,"GenAvg",FALSE,,FALSE,,FALSE,8,"Walter","Jennifer"
