ebird_scientific_name,ebird_common_name,alternative_scientific_name
Ianthocincla maxima,Giant Laughingthrush,Garrulax maximus
Ianthocincla ruficollis,Rufous-necked Laughingthrush,Garrulax ruficollis
Ianthocincla sukatschewi,Snowy-cheeked Laughingthrush,Garrulax sukatschewi
Ianthocincla vassali,White-cheeked Laughingthrush,Garrulax vassali
Ianthocincla waddelli,Giant Babax,Garrulax waddelli
Mentrocrex beankaensis,Tsingy Wood-Rail,Mentocrex beankaensis
Minla annectens,Rufous-backed Sibia,Leioptila annectens
Napothera danjoui,Short-tailed Scimitar-Babbler,Rimator danjoui
Napothera malacoptila,Long-billed Wren-Babbler,Rimator malacoptilus
Napothera pasquieri,White-throated Wren-Babbler,Rimator pasquieri
Otus madagascariensis,Torotoroka Scops-Owl,Otus rutilus
Pnoepyga mutica,Chinese Cupwing,Pnoepyga albiventer
Pteruthius intermedius,Clicking Shrike-Babbler,Pteruthius aenobarbus
Strix davidi,Pere David's Owl,Strix uralensis
Tetrastes sewerzowi,Severtzov's Grouse,Bonasa sewerzowi
Xanthomixis tenebrosa,Dusky Tetraka,Crossleyia tenebrosa
Acridotheres burmannicus,Vinous-breasted Starling,Acridotheres leucocephalus
Acridotheres melanopterus,Black-winged Starling,Acridotheres tricolor
Actenoides monachus,Green-backed Kingfisher,Actenoides capucinus
Actinodura ramsayi,Spectacled Barwing,Actinodura radcliffei
Aegithalos iouschistos,Black-browed Tit,Aegithalos bonvaloti
Aegithalos concinnus,Black-throated Tit,Aegithalos iredalei
Aethopyga christinae,Fork-tailed Sunbird,Aethopyga latouchii
Alcedo euryzona,Blue-banded Kingfisher,Alcedo peninsulae
Alophoixus pallidus,Puff-throated Bulbul,Alophoixus griseiceps
Alophoixus bres,Grey-cheeked Bulbul,Alophoixus tephrogenys
Sporaeginthus formosus,Green Avadavat,Amandava formosa
Amaurospiza concolor,Blue Seedeater,Amaurospiza relicta
Amazona autumnalis,Red-lored Parrot,Amazona diadema
Amazona autumnalis,Red-lored Parrot,Amazona lilacina
Anaplectes rubriceps,Red-headed Weaver,Anaplectes leuconotos
Anas crecca,Eurasian/Green-winged Teal,Anas carolinensis
Anisognathus igniventris,Scarlet-bellied Mountain-Tanager,Anisognathus lunulatus
Anthoscopus caroli,African Penduline Tit,Anthoscopus sylviella
Anthreptes rectirostris,Green Sunbird,Anthreptes tephrolaemus
Antrostomus cubanensis,Greater Antillean Nightjar,Antrostomus ekmani
Ardea intermedia,Intermediate Egret,Ardea brachyrhyncha
Ardea intermedia,Intermediate Egret,Ardea plumifera
Atimastillas flavicollis,Yellow-throated Greenbul,Atimastillas flavigula
Atlapetes tricolor,Tricoloured Brushfinch,Atlapetes crassus
Basileuterus culicivorus,Golden-crowned Warbler,Basileuterus auricapilla
Basileuterus culicivorus,Golden-crowned Warbler,Basileuterus cabanisi
Basileuterus culicivorus,Golden-crowned Warbler,Basileuterus hypoleucus
Bleda notatus,Lesser Bristlebill,Bleda ugandae
Brachypteryx montana,White-browed Shortwing,Brachypteryx poliogyna
Brachypteryx montana,White-browed Shortwing,Brachypteryx saturata
Bradypterus baboecala,Little Rush-Warbler,Bradypterus centralis
Bubo virginianus,Great Horned Owl,Bubo magellanicus
Buccanodon duchaillui,Yellow-spotted Barbet,Buccanodon dowsetti
Bycanistes fistulator,Piping Hornbill,Bycanistes sharpii
Cacicus cela,Yellow-rumped Cacique,Cacicus flavicrissus
Cacicus chrysonotus,Mountain Cacique,Cacicus leucoramphus
Calonectris diomedea,Cory's Shearwater,Calonectris borealis
Camaroptera chloronota,Olive-green Camaroptera,Camaroptera toroensis
Campethera tullbergi,Tullberg's Woodpecker,Campethera taeniolaema
Campylorhynchus rufinucha,Rufous-naped Wren,Campylorhynchus capistratus
Carduelis carduelis,European Goldfinch,Carduelis caniceps
Catharus ustulatus,Swainson's Thrush,Catharus swainsoni
Celeus torquatus,Ringed Woodpecker,Celeus occidentalis
Cercococcyx mechowi,Dusky Long-tailed Cuckoo,Cercococcyx lemaireae
Ceyx cyanopectus,Indigo-banded Kingfisher,Ceyx nigrirostris
Chaetura vauxi,Vaux's Swift,Chaetura andrei
Charadrius alexandrinus,Kentish Plover,Charadrius dealbatus
Chloropsis hardwickii,Orange-bellied Leafbird,Chloropsis lazulina
Chloropsis cochinchinensis,Blue-winged Leafbird,Chloropsis moluccensis
Chrysophlegma mentale,Checker-throated Woodpecker,Chrysophlegma humii
Cichlocolaptes leucophrus,Pale-browed Treehunter,Cichlocolaptes holti
Ciconia episcopus,Woolly-necked Stork,Ciconia microscelis
Cinnyris habessinicus,Shining Sunbird,Cinnyris hellmayri
Cinnyris pulchellus,Beautiful Sunbird,Cinnyris melanogastrus
Cistothorus platensis,Sedge Wren,Cistothorus stellaris
Colaptes rubiginosus,Golden-olive Woodpecker,Colaptes aeruginosus
Colaptes auratus,Northern Flicker,Colaptes cafer
Colaptes campestris,Campo Flicker,Colaptes campestroides
Colaptes melanochloros,Green-barred Woodpecker,Colaptes melanolaimus
Colaptes auratus,Northern Flicker,Colaptes mexicanoides
Conirostrum cinereum,Cinereous Conebill,Conirostrum fraseri
Contopus cinereus,Tropical Pewee,Contopus bogotensis
Contopus cinereus,Tropical Pewee,Contopus punensis
Crax fasciolata,Bare-faced Curassow,Crax pinima
Cyanolyca armillata,Black-collared Jay,Cyanolyca quindiuna
Cymbirhynchus macrorhynchos,Black-and-red Broadbill,Cymbirhynchus affinis
Cyphorhinus thoracicus,Chestnut-breasted Wren,Cyphorhinus dichrous
Dacnis lineata,Black-faced Dacnis,Dacnis egregia
Deconychura longicauda,Long-tailed Woodcreeper,Deconychura pallida
Delichon urbicum,Common House Martin,Delichon lagopodum
Chloropicus elliotii,Elliot's Woodpecker,Dendropicos elliotii
Chloropicus gabonensis,Gabon Woodpecker,Dendropicos gabonensis
Dicaeum ignipectus,Fire-breasted Flowerpecker,Dicaeum beccarii
Dicaeum ignipectus,Fire-breasted Flowerpecker,Dicaeum luzoniense
Diomedea exulans,Wandering Albatross,Diomedea antipodensis
Diomedea exulans,Wandering Albatross,Diomedea dabbenena
Diomedea epomophora,Royal Albatross,Diomedea sanfordi
Diopsittaca nobilis,Red-shouldered Macaw,Diopsittaca cumanensis
Ducula badia,Mountain Imperial-Pigeon,Ducula cuprea
Platysteira concreta,Yellow-bellied Wattle-eye,Dyaphorophyia ansorgei
Emberiza spodocephala,Black-faced Bunting,Emberiza personata
Eremalauda dunni,Dunn's Lark,Eremalauda eremodites
Eurylaimus javanicus,Banded Broadbill,Eurylaimus harterti
Euscarthmus meloryphus,Tawny-crowned Pygmy-Tyrant,Euscarthmus fulviceps
Falco chicquera,Red-necked Falcon,Falco ruficollis
Formicivora grisea,White-fringed Antwren,Formicivora intermedia
Stymphalornis acutirostris,Parana Antwren,Formicivora paludicola
Furnarius leucopus,Pale-legged Hornero,Furnarius cinnamomeus
Furnarius leucopus,Pale-legged Hornero,Furnarius longirostris
Ianthocincla cineracea,Moustached Laughingthrush,Garrulax cinereiceps
Garrulus glandarius,Eurasian Jay,Garrulus bispecularis
Garrulus glandarius,Eurasian Jay,Garrulus leucotis
Gelochelidon nilotica,Gull-billed Tern,Gelochelidon macrotarsa
Geothlypis aequinoctialis,Masked Yellowthroat,Geothlypis auricularis
Glaucidium gnoma,Northern Pygmy-Owl,Glaucidium californicum
Glaucidium gnoma,Northern Pygmy-Owl,Glaucidium cobanense
Gracupica contra,Asian Pied Starling,Gracupica jalla
Grallaria quitensis,Tawny Antpitta,Grallaria alticola
Granatellus pelzelni,Rose-breasted Chat,Granatellus paraensis
Euplectes ardens,Red-collared Widowbird,Euplectes laticauda
Guttera pucherani,Crested Guineafowl,Guttera edouardi
Guttera pucherani,Crested Guineafowl,Guttera verreauxi
Suiriri affinis,Chapada Flycatcher,Guyramemua affinis
Gymnobucco bonapartei,Grey-throated Barbet,Gymnobucco cinereiceps
Hemicircus concretus,Grey-and-buff Woodpecker,Hemicircus sordidus
Herpsilochmus rufimarginatus,Rufous-winged Antwren,Herpsilochmus scapularis
Hirundinea ferruginea,Cliff Flycatcher,Hirundinea bellicosa
Horizocerus albocristatus,White-crested Hornbill,Horizocerus cassini
Horizocerus hartlaubi,Black Dwarf Hornbill,Horizocerus granti
Oceanodroma jabejabe,Cape Verde Storm-Petrel,Hydrobates jabejabe
Dryocopus lineatus,Lineated Woodpecker,Hylatomus fuscipennis
Hylophilus thoracicus,Lemon-chested Greenlet,Hylophilus griseiventris
Hypnelus ruficollis,Russet-throated Puffbird,Hypnelus bicinctus
Icterus cayanensis,Epaulet Oriole,Icterus chrysocephalus
Icterus spurius,Orchard Oriole,Icterus fuertesi
Illadopsis rufipennis,Pale-breasted Illadopsis,Illadopsis distans
Knipolegus orenocensis,Riverside Tyrant,Knipolegus sclateri
Lagonosticta larvata,Black-faced Firefinch,Lagonosticta nigricollis
Lagonosticta larvata,Black-faced Firefinch,Lagonosticta vinacea
Lanius sphenocercus,Chinese Grey Shrike,Lanius giganteus
Larus argentatus,Herring Gull,Larus smithsonianus
Lophoceros fasciatus,African Pied Hornbill,Lophoceros semifasciatus
Lophura ignita,Crested Fireback,Lophura rufa
Lybius leucocephalus,White-headed Barbet,Lybius senex
Megascops ingens,Rufescent Screech-Owl,Megascops colombianus
Meiglyptes tristis,Buff-rumped Woodpecker,Meiglyptes grammithorax
Melozone leucotis,White-eared Ground-Sparrow,Melozone occipitalis
Merops orientalis,Green Bee-eater,Merops cyanophrys
Merops variegatus,Blue-breasted Bee-eater,Merops lafresnayii
Merops orientalis,Green Bee-eater,Merops viridissimus
Milvus migrans,Black Kite,Milvus aegyptius
Mionectes olivaceus,Olive-striped Flycatcher,Mionectes galbinus
Myioborus ornatus,Golden-fronted Redstart,Myioborus chrysops
Myiodynastes maculatus,Streaked Flycatcher,Myiodynastes solitarius
Myiopagis caniceps,Grey Elaenia,Myiopagis cinerea
Myiophobus fasciatus,Bran-coloured Flycatcher,Myiophobus crypterythrus
Myiophobus fasciatus,Bran-coloured Flycatcher,Myiophobus rufescens
