common_name,scientific_name,alternative_common_names,alternative_scientific_names
Spot-breasted Quail,Cyrtonyx sallei,,
Ocellated Quail,Cyrtonyx ocellatus,,
,Cyrtonyx montezumae,,
Udzungwa Forest-partridge,Xenoperdix udzungwensis,"Perdiz de Udzungwa, Uzungwa Francolin, Francolin d'Uzungwa, Udzungwa Forest Partridge, X�noperdrix de Tanzanie",
,Xenoperdix obscurata,,
Crested Partridge,Rollulus rouloul,Perdiz Rulrul,
Hill Partridge,Arborophila torqueola,,
Rufous-throated Partridge,Arborophila rufogularis,,
White-cheeked Partridge,Arborophila atrogularis,,
Taiwan Partridge,Arborophila crudigularis,,
Chestnut-breasted Partridge,Arborophila mandellii,,
Bar-backed Partridge,Arborophila brunneopectus,,
Sichuan Partridge,Arborophila rufipectus,,
Collared Partridge,Arborophila gingica,Rickett's Hill-partridge,
Orange-necked Partridge,Arborophila davidi,,
Chestnut-headed Partridge,Arborophila cambodiana,,
Malay Partridge,Arborophila campbelli,,
Tan-breasted Partridge,Arborophila rolli,,
Sumatran Partridge,Arborophila sumatrana,,
White-faced Partridge,Arborophila orientalis,Grey-breasted Partridge,
Chestnut-bellied Partridge,Arborophila javanica,,
Red-billed Partridge,Arborophila rubrirostris,,
Bornean Partridge,Arborophila hyperythra,,
Hainan Partridge,Arborophila ardens,"Hainan Hill-partridge, White-eared Hill-partridge, White-eared Partridge",
Green-legged Partridge,Arborophila chloropus,,
Tonkin Partridge,Arborophila tonkinensis,,
Chestnut-necklaced Partridge,Arborophila charltonii,"Arbor�fila Pechicasta�a, Perdiz de Bosque de Charlton, Chestnut-breasted Tree-partridge, Scaly-breasted Partridge",
Sabah Partridge,Arborophila graydoni,,
,Arborophila chloropus,Scaly-breasted Partridge,
,Arborophila merlini,Annam Partridge,
,Arborophila charltonii,"Arbor�fila Pechicasta�a, Perdiz de Bosque de Charlton, Scaly-breasted Partridge, Chestnut-breasted Tree-partridge",
,Arborophila orientalis,Grey-breasted Partridge,
,Arborophila chloropus,,
Long-billed Partridge,Rhizothera longirostris,,
Dulit Partridge,Rhizothera dulitensis,,
,Rhizothera longirostris,Perdiz Piquilarga,
Black Partridge,Melanoperdix niger,"Black Wood-partridge, Perdiz Negra, Perdiz de Bosque Negra",Melanoperdix nigra
Crimson-headed Partridge,Haematortyx sanguiniceps,,
Ferruginous Partridge,Caloperdix oculeus,Perdicilla Herrumbrosa,Caloperdix oculea
Red Spurfowl,Galloperdix spadicea,,
Painted Spurfowl,Galloperdix lunulata,,
Sri Lanka Spurfowl,Galloperdix bicalcarata,Ceylon Spurfowl,
Congo Peafowl,Afropavo congensis,"Paon du Congo, Congo Peacock",
Indian Peafowl,Pavo cristatus,"Common Peafowl, Peafowl",
Green Peafowl,Pavo muticus,"Pavo-real Verde, Pavo-real Cuelliverde, Green-necked Peafowl",
Great Argus,Argusianus argus,Argos Real,
,Argusianus argus,Argos Real,
,Argusianus bipunctatus,,
Crested Argus,Rheinardia ocellata,"Ocellated Pheasant, Fais�n de Rheinard",Rheinartia ocellata
Palawan Peacock-pheasant,Polyplectron napoleonis,"Napoleon's Peacock-pheasant, Espolonero de Palawan, Palawan Peacock-Pheasant, Fais�n Real de Palagu�n",Polyplectron emphanum
Malay Peacock-pheasant,Polyplectron malacense,"Malayan Peacock-Pheasant, Espolonero Malayo, Crested Peacock-pheasant, Fais�n Real Malayo, Fais�n de Cola Ocelada Malayo",
Bornean Peacock-pheasant,Polyplectron schleiermacheri,"Bornean Peacock-Pheasant, Espolonero de Borneo",
Germain's Peacock-pheasant,Polyplectron germaini,"Fais�n Real de Germain, Fais�n de Cola Ocelada de Germain, Germain's Peacock-Pheasant, Espolonero de Germain",
Hainan Peacock-pheasant,Polyplectron katsumatae,,
Grey Peacock-pheasant,Polyplectron bicalcaratum,Grey Peacock-Pheasant,
Mountain Peacock-pheasant,Polyplectron inopinatum,"Mountain Peacock-Pheasant, Rothschild's Peacock-pheasant, Espolonero de Rothschild, Fais�n de Cola Ocelada Ind�mito",
Bronze-tailed Peacock-pheasant,Polyplectron chalcurum,Bronze-tailed Peacock-Pheasant,
,Polyplectron bicalcaratum,Grey Peacock-Pheasant,
Madagascar Partridge,Margaroperdix madagarensis,Caille de Madagascar,Margaroperdix madagarensis
Common Quail,Coturnix coturnix,"Caille des bl�s, Quail",
Japanese Quail,Coturnix japonica,,
Rain Quail,Coturnix coromandelica,,
Harlequin Quail,Coturnix delegorguei,Caille arlequin,
Stubble Quail,Coturnix pectoralis,,
New Zealand Quail,Coturnix novaezelandiae,,
,Coturnix chinensis,"King Quail, Caille bleue",
Brown Quail,Synoicus ypsilophorus,,Coturnix ypsilophora
Asian Blue Quail,Synoicus chinensis,"Caille bleue, Blue Quail, Blue-breasted Quail, King Quail",Coturnix chinensis_old
African Blue Quail,Synoicus adansonii,Blue Quail,Coturnix adansonii_old
Snow Mountain Quail,Anurophasis monorthonyx,Snow Mountains Quail,
Caucasian Snowcock,Tetraogallus caucasicus,,
Caspian Snowcock,Tetraogallus caspius,,
Himalayan Snowcock,Tetraogallus himalayensis,,
Tibetan Snowcock,Tetraogallus tibetanus,,
Altai Snowcock,Tetraogallus altaicus,,
Rock Partridge,Alectoris graeca,,
Chukar,Alectoris chukar,"Chuckar, Chukar Partridge, Perdrix chukar",
Przevalski's Partridge,Alectoris magna,,
Philby's Partridge,Alectoris philbyi,"Perdrix de Philby, Philby's Rock Partridge",
Barbary Partridge,Alectoris barbara,Perdrix gambra,
Red-legged Partridge,Alectoris rufa,,
Arabian Partridge,Alectoris melanocephala,"Arabian Red-legged Partridge, Perdrix � t�te noire",
,Alectoris whitakeri,,
Snow Partridge,Lerwa lerwa,,
See-see Partridge,Ammoperdix griseogularis,"See-See Partridge, See-see",
Sand Partridge,Ammoperdix heyi,Perdrix de Hey,
Jungle Bush-quail,Perdicula asiatica,"Jungle Bush Quail, Jungle Bush-Quail",
Rock Bush-quail,Perdicula argoondah,"Rock Bush Quail, Rock Bush-Quail",
Painted Bush-quail,Perdicula erythrorhyncha,"Painted Bush-Quail, Painted Bush Quail",
Manipur Bush-quail,Perdicula manipurensis,"Manipur Bush Quail, Manipur Bush-Quail",
