Binomial,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,Beak_PC1,Beak_PC2,Beak_PC3,Beak_PC4,Realm,TrophicLevel,TrophicNiche,ForagingNiche
Caloenas_nicobarica,2.55695702116061,0.859918474242844,0.58078825756215,-0.168094321935213,-0.243826767317923,0.32043930221406,-0.133065644511482,0.1727461977553,-0.0138141261054938,0.37548290987981,0.206695336026846,-0.124631431781125,-0.116250735400997,Australian,Herbivore,Omnivore,NA
Calonectris_diomedea,3.38589216054828,-0.297242331862126,0.233240832500628,-0.211723682680835,-0.0561290452141092,0.246946076905712,-0.0359961482938609,-0.285935667177611,-0.0820506836852343,1.80962585461038,0.291442047035115,0.00322650276870184,0.064295740813642,Palearctic,Carnivore,Aquatic predator,Aquatic surface
Calonectris_edwardsii,3.00920956591897,-0.0108510085557397,0.437026998024608,-0.240433476916144,-0.281356230771744,0.126674313787376,-0.0796433654468857,-0.275585443704802,-0.184145722495948,1.31501034785902,0.368385665351217,-0.0311368282141171,0.113834315859743,Afrotropic,Carnivore,Aquatic predator,Generalist
Calonectris_leucomelas,3.26673882699622,-0.165163894907439,0.358810435066514,-0.262986667259002,-0.201608728552207,0.104169844350305,-0.027628338786945,-0.286631951042985,-0.165717129316631,1.58662120118771,0.373889947406817,0.0148490558623864,0.105530842401866,Australian,Carnivore,Aquatic predator,Aquatic surface
Caloperdix_oculeus,1.24313653788448,0.783609687512827,0.602631374356896,0.219749956654855,-0.0491131794589899,0.0898325228454235,-0.00711281392093799,0.0855749653996684,0.172724934148151,-0.0736398122112812,-0.0197613382296281,-0.0428778455251912,-0.307624254953094,Indo_Malay,Herbivore,Omnivore,NA
Calorhamphus_fuliginosus,0.0477658415787797,-0.748978712368701,-0.0211391963366656,0.704673990218319,0.143653911061027,0.0413795624184113,-0.133533482533617,0.0111520257197379,0.0772245469550478,0.806920201398335,-0.289552322598832,-0.134618929905901,0.0516430799724636,Indo_Malay,Herbivore,Frugivore,Fugivore glean
Calothorax_lucifer,-3.85349101674076,-1.29869622855375,1.03615093010803,-0.541667230518151,-0.812464222130075,-0.185702467181234,-0.0200371350375201,-0.098603086541968,-0.0160900755049666,-1.16014035572241,1.48346043850092,0.0517665449570619,0.13750386736684,Nearctic,Herbivore,Nectarivore,Nectarivore aerial
Calothorax_pulcher,-4.13602544777388,-1.27288279035892,1.00184033523133,-0.597758813306089,-0.853311757544138,-0.21179670899688,-0.352489813729066,-0.0415465766002009,0.00498244298772293,-1.33157729450255,1.50221116586938,-0.27918556840976,0.151372323158496,Neotropic,Herbivore,Nectarivore,Nectarivore aerial
Calypte_anna,-3.59659866147569,-1.01145531046924,0.944187366658079,-0.561903269883243,-0.878597119567056,-0.0955432351649599,-0.237609672855406,-0.107225609635095,-0.0331970554239262,-1.27386242257071,1.34714474627247,-0.153282471943487,0.15544741344786,Nearctic,Herbivore,Nectarivore,Nectarivore aerial
Calypte_costae,-3.95426363698476,-1.14750220759225,0.980408564150439,-0.424240854933857,-0.800659772905767,-6.16E-05,-0.152722709541265,-0.138338643456374,-0.069984530850619,-1.30432866051329,1.31772391340916,-0.0614372789028204,0.215571479033102,Nearctic,Herbivore,Nectarivore,Nectarivore aerial
Calyptocichla_serina,-0.520156074670909,0.265704926995842,0.0238066657376229,-0.214182495562198,-0.112605110418893,-0.0845917219172876,-0.0256862445395695,0.137841626626579,-0.00224386370966563,-0.538958312453784,0.113021653419009,-0.0328242185385474,-0.0303577870305798,Afrotropic,Herbivore,Frugivore,Fugivore glean
Calyptomena_hosii,0.638043197415701,0.271638158352062,-0.152171918052719,0.534042177346806,-0.0888512435272686,0.169267081968291,0.195136401230802,0.0880145499155914,-0.0408108298609424,0.190502738716653,-0.550490303504188,0.208127719641417,0.0308373007378458,Indo_Malay,Herbivore,Frugivore,Fugivore aerial
Calyptomena_viridis,-0.117079804853567,0.28615794131625,0.146865869628771,0.466778293461918,-0.135289169659508,0.243228065417743,0.0419675418778563,0.166603430799546,-0.00523937297935947,-0.248328132432252,-0.29687071587417,0.0556282259088009,0.00984821158303953,Indo_Malay,Herbivore,Frugivore,Fugivore aerial
Calyptomena_whiteheadi,1.25692471516044,0.432279174214481,-0.255181523450608,0.43334879435758,-0.277383298445018,0.155748676926799,0.147918762401165,0.168009517532174,-0.0874976048618769,0.316825007370499,-0.592962181708263,0.173883348753616,0.0622274310912045,Indo_Malay,Herbivore,Frugivore,Fugivore aerial
Calyptophilus_frugivorus,-0.34061533352119,-0.131056329856017,-0.040166983631316,-0.309893979433316,0.296676541017988,-0.0888289070533329,-0.201007100147293,0.0478826955512659,0.0383731726567753,-0.0694332232361608,0.239394292162359,-0.230679329793423,-0.0193638910885462,Neotropic,Carnivore,Invertivore,Invertivore ground
Calyptophilus_tertius,0.150506747654351,-0.0936549455617473,-0.0100620391705505,-0.214467092038341,0.329103255295081,-0.204044459650303,-0.148073510369578,0.056706547896,-0.0284866932010312,0.149339599857238,0.175750777175471,-0.187144957726922,0.0135328373828904,Neotropic,Carnivore,Invertivore,Invertivore ground
Calyptorhynchus_banksii,4.39750110917639,-0.839773542354826,-1.32239184394716,0.395997554640659,-0.51278552834281,0.0573389118322899,-0.278773782142206,-0.0391307978774009,0.0983508474822326,3.01761565560717,-0.958794271517966,-0.205740643861286,0.093893833617675,Australian,Herbivore,Granivore,Granivore arboreal
Calyptorhynchus_baudinii,4.18806685890012,-0.951918209453612,-1.04703973025538,0.22296510606735,-0.397264924076475,0.0272988206081329,-0.236095389001871,-0.081985773881911,0.0292524780565145,2.94805581323394,-0.628052894634386,-0.169643764980917,0.140025923186715,Australian,Herbivore,Granivore,Granivore arboreal
Calyptorhynchus_funereus,4.39856358279816,-0.826603712947167,-1.32782471182368,0.187789984871658,-0.397691934172786,0.0593326357055191,-0.289731815979715,-0.0367580382011722,0.0455109200779282,2.97787196740968,-0.818605662547259,-0.22115556329079,0.136761162706095,Australian,Herbivore,Granivore,Granivore arboreal
Calyptorhynchus_lathami,3.75745912837849,-1.04088107093562,-1.34555738161866,0.492290635665088,-0.6234443770085,0.0891125084888861,-0.191988998678892,-0.0220013325783869,0.112531736381321,2.87981196026341,-0.967816641357557,-0.105196287772172,0.118379161220715,Australian,Herbivore,Granivore,Granivore arboreal
Calyptorhynchus_latirostris,4.07233637256697,-0.736879463890959,-1.16276801975346,0.336906729936301,-0.421366380590148,-0.0188104233536841,-0.27884491440992,-0.0931678052765751,0.0142117621188059,2.74900424967781,-0.844079945354457,-0.213721268800101,0.141019861439302,Australian,Herbivore,Granivore,Granivore arboreal
Calyptura_cristata,-3.08142065494921,0.235788622612972,-0.110673189961523,0.622537382991374,0.310079610682836,0.392616165725531,-0.0945081239349324,0.0377722928882377,0.10175677328756,-1.49608675353245,-0.523447759266566,-0.0959643515573056,-2.63E-05,Neotropic,Omnivore,Omnivore,NA
Camarhynchus_heliobates,-1.08510438546268,-0.280733399825458,-0.0755400762481789,0.401195832481067,0.401128024979307,0.171864536878749,-0.113748740218112,-0.0519349106939145,0.0271917184922998,-0.143655422934018,-0.236561164896483,-0.123690422524146,0.0630788552004801,Neotropic,Carnivore,Invertivore,Invertivore glean arboreal
Camarhynchus_pallidus,-0.926789968685212,-0.231895970024547,0.0457209318703607,0.493597995588601,0.296747858832682,0.11027570414287,-0.1690792248723,0.00609065575195222,0.00811549142272813,-0.125552140707157,-0.233855855229999,-0.179340073073295,0.068748849228842,Neotropic,Carnivore,Invertivore,Invertivore bark
Camarhynchus_parvulus,-1.76636351237758,0.0728880338975196,-0.158313388506801,0.611591262915691,0.248720871042412,0.143591954475947,-0.239750129400405,-0.0182840567485344,0.0112509602630765,-0.736795713430115,-0.525194752711198,-0.242493485302416,0.0725466727856488,Neotropic,Omnivore,Invertivore,Invertivore glean arboreal
Camarhynchus_pauper,-1.20042463194015,-0.214536964662783,-0.346816179196025,0.487962555940264,0.372443239995233,0.0827307971817109,-0.213954136777656,-0.0913666787177515,0.0154782511697494,-0.203321347742587,-0.492249570247199,-0.220906499976271,0.0893908147956776,Neotropic,Carnivore,Invertivore,Invertivore glean arboreal
