"city_name","ebird_code","common_name","scientific_name","species_category","number_of_non_zero_frequency","longest_run_of_non_zero_frequency","smallest_precision"
"Hanoi","kenplo1","Kentish Plover","Charadrius alexandrinus","species","11","4","60"
"Hanoi","melthr","Chinese Hwamei","Garrulax canorus","species","13","4","20"
"Hanoi","gremag1","Common Green-Magpie","Cissa chinensis","species","9","7","100"
"Hanoi","rattre2","Ratchet-tailed Treepie","Temnurus temnurus","species","8","8","180"
"Hanoi","eurcoo","Eurasian Coot","Fulica atra","species","10","3","20"
"Hanoi","moubul2","Mountain Bulbul","Ixos mcclellandii","species","11","7","20"
"Hanoi","manher1","Malayan Night-Heron","Gorsachius melanolophus","species","13","10","60"
"Hanoi","purswa3","Gray-headed Swamphen","Porphyrio poliocephalus","species","8","7","180"
"Hanoi","whtfly2","White-tailed Flycatcher","Cyornis concretus","species","8","8","180"
"Hanoi","rattre1","Racket-tailed Treepie","Crypsirina temia","species","12","10","60"
"Hanoi","indcuc1","Indian Cuckoo","Cuculus micropterus","species","10","5","60"
"Hanoi","banswa","Bank Swallow","Riparia riparia","species","12","5","60"
"Hanoi","brodro1","Bronzed Drongo","Dicrurus aeneus","species","10","7","100"
"Hanoi","sibnee1","Silver-backed Needletail","Hirundapus cochinchinensis","species","13","8","60"
"Hanoi","rugfly1","Rufous-gorgeted Flycatcher","Ficedula strophiata","species","10","3","20"
"Hanoi","japqua","Japanese Quail","Coturnix japonica","species","8","4","60"
"Hanoi","wetpig1","Wedge-tailed Green-Pigeon","Treron sphenurus","species","8","4","60"
"Hanoi","ferfly1","Ferruginous Flycatcher","Muscicapa ferruginea","species","12","5","20"
"Hanoi","yelbut1","Yellow-legged Buttonquail","Turnix tanki","species","11","4","60"
"Hanoi","integr","Intermediate Egret","Ardea intermedia","species","13","10","60"
"Hanoi","hoopoe","Eurasian Hoopoe","Upupa epops","species","14","3","60"
"Hanoi","greyel1","Greater Yellownape","Chrysophlegma flavinucha","species","8","8","180"
"Hanoi","besra1","Besra","Accipiter virgatus","species","9","3","60"
"Hanoi","pagplo","Pacific Golden-Plover","Pluvialis fulva","species","11","7","60"
"Hanoi","babpar1","Bar-backed Partridge","Arborophila brunneopectus","species","9","6","180"
"Hanoi","blabit1","Black Bittern","Ixobrychus flavicollis","species","10","7","180"
"Hanoi","blbqua1","Blue-breasted Quail","Synoicus chinensis","species","11","4","20"
"Hanoi","lotbro1","Long-tailed Broadbill","Psarisomus dalhousiae","species","9","7","100"
